Category,Sub-Category,Item,Price (₹),Notes
Food,Tippy Bites,Tippy Mexican Beans,169,
Food,Tippy Bites,Tippy Cheese Chilli Corn,169,
Food,Classic Quesadillas,Maxdillas,219,
Food,Classic Quesadillas,Chilli Paneer Quesadillas,219,
Food,Classic Quesadillas,Mac n Cheese Quesadillas,219,
Food,Momos Patter,Classic Momos (Steam),199,
Food,Momos Patter,Classic Momos (Fried),249,
Food,Momos Patter,Peri-Peri Momos (Steam),239,
Food,Momos Patter,Peri-Peri Momos (Fried),279,
Food,Momos Patter,Schezwan Momos (Steam),199,
Food,Momos Patter,Schezwan Momos (Fried),249,
Food,Momos Patter,Cheesy Paneer Momos (Steam),239,
Food,Momos Patter,Cheesy Paneer Momos (Fried),279,
Food,Chaat,Dahi Papdi Chaat,159,
Food,Chaat,Chana Chaat,149,
Food,Chaat,Corn Chaat,159,
Food,Chaat,Aloo Tikki Chaat,129,
Food,Break Bites,Aloo Paratha,189,
Food,Break Bites,Gobi Paratha,179,
Food,Break Bites,Chinese Paratha,199,
Food,Break Bites,Poha,119,
Food,Mini Bites,Potato Garlic Bite,159,
Food,Mini Bites,Potato Cheese Starter,179,
Food,Mini Bites,Veg. Nuggets,159,
Food,Mini Bites,Veg. Fingers,149,
Food,Mini Bites,Smilies,179,
Food,Fries,French Fries,119,
Food,Fries,Masala Fries,139,
Food,Fries,Crinkle Fries,149,
Food,Fries,Peri-Peri Fries,159,
Food,Opening Acts,Paneer Chilli (Dry),399,
Food,Opening Acts,Paneer Chilli (Gravy),399,
Food,Opening Acts,Coconut Paneer Chilli (Dry),499,
Food,Opening Acts,Coconut Paneer Chilli (Gravy),499,
Food,Opening Acts,Grill Cottage Cheese,349,
Food,Opening Acts,Dragon Potato,189,
Food,Opening Acts,Veg. Crispy,239,
Food,Opening Acts,Veg. Manchurian (Dry),249,
Food,Opening Acts,Veg. Manchurian (Gravy),249,
Food,Opening Acts,Chinese Cigar Roll,349,
Food,Opening Acts,Cheese Cigar Roll,349,
Food,Opening Acts,Spring Roll,399,
Food,Opening Acts,Veg. Hakka Noodles,249,
Food,Opening Acts,Schezwan Noodles,249,
Food,Opening Acts,Garlic Noodles,249,
Food,China-Town Rice,Hot Pot Rice,299,
Food,China-Town Rice,Cilantro Rice with Montecarlo Curry,349,
Food,China-Town Rice,Veg. Fried Rice,199,
Food,China-Town Rice,Veg. Manchurian Rice,199,
Food,China-Town Rice,Schezwan Rice,199,
Food,Diminutive Meals,Puri Bhaji,199,
Food,Diminutive Meals,Chole Kulche,179,
Food,Diminutive Meals,Chole Puri,199,
Food,Diminutive Meals,Pav Bhaji,199,
Food,Diminutive Meals,Cheese Pav Bhaji,249,
Food,Diminutive Meals,Idli Sambhar,199,
Food,Diminutive Meals,Vada Sambhar,199,
Food,Extras,Puri,30,
Food,Extras,Pav,30,
Food,Extras,Vada,30,
Food,Extras,Idli,30,
Food,Extras,Water,MRP,On MRP
Food,Exotic Soup Creation,Broccoli Almond Soup,239,
Food,Exotic Soup Creation,Manchow Soup,219,
Food,Exotic Soup Creation,Hot N Sour Soup,219,
Food,Exotic Soup Creation,Tomato Soup,219,
Food,Exotic Soup Creation,Lemon Coriander Soup,239,
Food,Exotic Soup Creation,Mexican Bean Soup,249,
Food,Burger,Aloo Tikki Burger,189,
Food,Burger,Veg. Burger,199,
Food,Burger,Veg. Cheese Burger,219,
Food,Burger,Italian Burger,229,
Food,Sandwiches,Chefs Special Sandwich,299,
Food,Sandwiches,Club Sandwich,269,
Food,Sandwiches,Aloo Mutter Sandwich,199,
Food,Sandwiches,Garden Fresh,199,
Food,Sandwiches,Cheese Chilli Garlic Sandwich,189,
Food,Sandwiches,Schezwan Sandwich,189,
Food,Sandwiches,Italian Sandwich,189,
Food,Toast,Cheese Chilli Toast,189,
Food,Toast,Cheese Garlic Toast,199,
Food,Toast,Mexican Toast,189,
Food,Mouthwatering Maggie Delights,Regular Maggie,169,
Food,Mouthwatering Maggie Delights,Cheese Maggie,199,
Food,Mouthwatering Maggie Delights,Schezwan Maggie,189,
Food,Mouthwatering Maggie Delights,Veg. Maggie,189,
Food,Classic Pasta Dishes,Fusilli,289,Any one sauce: Red / Cheese / White / Pesto
Food,Classic Pasta Dishes,Penny (Penne),219,Any one sauce: Red / Cheese / White / Pesto
Food,Classic Pasta Dishes,Farfalle,249,Any one sauce: Red / Cheese / White / Pesto
Food,Classic Pasta Dishes,Macaroni Pineapple,249,Any one sauce: Red / Cheese / White / Pesto
